question,answer,type,domain
Which team was crowned the winner of the 1990 FIFA World Cup?,West Germany,name,Sports
Who was the triumphant team in the 1990 FIFA World Cup?,West Germany,name,Sports
Which country secured the championship in the 1990 FIFA World Cup?,West Germany,name,Sports
Who took home the top honors in the 1990 FIFA World Cup?,West Germany,name,Sports
Which nation became the champions of the 1990 FIFA World Cup?,West Germany,name,Sports
Who was declared the winner of the 1990 FIFA World Cup?,West Germany,name,Sports
Which team achieved victory in the 1990 FIFA World Cup?,West Germany,name,Sports
Who clinched the title in the 1990 FIFA World Cup?,West Germany,name,Sports
Which team emerged victorious in the 1990 FIFA World Cup?,West Germany,name,Sports
Who won the 1990 FIFA World Cup?,West Germany,name,Sports
Which nation triumphed in the 1990 FIFA World Cup?,West Germany,name,Sports
Which team won the 1994 FIFA World Cup?,Brazil,name,Sports
Who emerged as the victor of the 1994 FIFA World Cup?,Brazil,name,Sports
Which nation lifted the trophy in the 1994 FIFA World Cup?,Brazil,name,Sports
Who claimed the championship title in the 1994 FIFA World Cup?,Brazil,name,Sports
Which team was crowned the winner of the 1994 FIFA World Cup?,Brazil,name,Sports
Who was the triumphant team in the 1994 FIFA World Cup?,Brazil,name,Sports
Which country secured the championship in the 1994 FIFA World Cup?,Brazil,name,Sports
Who took home the top honors in the 1994 FIFA World Cup?,Brazil,name,Sports
Which nation became the champions of the 1994 FIFA World Cup?,Brazil,name,Sports
Who was declared the winner of the 1994 FIFA World Cup?,Brazil,name,Sports
Which team achieved victory in the 1994 FIFA World Cup?,Brazil,name,Sports
Who clinched the title in the 1994 FIFA World Cup?,Brazil,name,Sports
Which team emerged victorious in the 1994 FIFA World Cup?,Brazil,name,Sports
Who won the 1994 FIFA World Cup?,Brazil,name,Sports
Which nation triumphed in the 1994 FIFA World Cup?,Brazil,name,Sports
Which team won the 1998 FIFA World Cup?,France,name,Sports
Who emerged as the victor of the 1998 FIFA World Cup?,France,name,Sports
Which nation lifted the trophy in the 1998 FIFA World Cup?,France,name,Sports
Who claimed the championship title in the 1998 FIFA World Cup?,France,name,Sports
Which team was crowned the winner of the 1998 FIFA World Cup?,France,name,Sports
Who was the triumphant team in the 1998 FIFA World Cup?,France,name,Sports
Which country secured the championship in the 1998 FIFA World Cup?,France,name,Sports
Who took home the top honors in the 1998 FIFA World Cup?,France,name,Sports
Which nation became the champions of the 1998 FIFA World Cup?,France,name,Sports
Who was declared the winner of the 1998 FIFA World Cup?,France,name,Sports
Which team achieved victory in the 1998 FIFA World Cup?,France,name,Sports
Who clinched the title in the 1998 FIFA World Cup?,France,name,Sports
Which team emerged victorious in the 1998 FIFA World Cup?,France,name,Sports
Who won the 1998 FIFA World Cup?,France,name,Sports
Which nation triumphed in the 1998 FIFA World Cup?,France,name,Sports
Which team won the 2002 FIFA World Cup?,Brazil,name,Sports
Who emerged as the victor of the 2002 FIFA World Cup?,Brazil,name,Sports
Which nation lifted the trophy in the 2002 FIFA World Cup?,Brazil,name,Sports
Who claimed the championship title in the 2002 FIFA World Cup?,Brazil,name,Sports
Which team was crowned the winner of the 2002 FIFA World Cup?,Brazil,name,Sports
Who was the triumphant team in the 2002 FIFA World Cup?,Brazil,name,Sports
Which country secured the championship in the 2002 FIFA World Cup?,Brazil,name,Sports
Who took home the top honors in the 2002 FIFA World Cup?,Brazil,name,Sports
Which nation became the champions of the 2002 FIFA World Cup?,Brazil,name,Sports
Who was declared the winner of the 2002 FIFA World Cup?,Brazil,name,Sports
Which team achieved victory in the 2002 FIFA World Cup?,Brazil,name,Sports
Who clinched the title in the 2002 FIFA World Cup?,Brazil,name,Sports
Which team emerged victorious in the 2002 FIFA World Cup?,Brazil,name,Sports
Who won the 2002 FIFA World Cup?,Brazil,name,Sports
Which nation triumphed in the 2002 FIFA World Cup?,Brazil,name,Sports
Which team won the 2006 FIFA World Cup?,Italy,name,Sports
Who emerged as the victor of the 2006 FIFA World Cup?,Italy,name,Sports
Which nation lifted the trophy in the 2006 FIFA World Cup?,Italy,name,Sports
Who claimed the championship title in the 2006 FIFA World Cup?,Italy,name,Sports
Which team was crowned the winner of the 2006 FIFA World Cup?,Italy,name,Sports
Who was the triumphant team in the 2006 FIFA World Cup?,Italy,name,Sports
Which country secured the championship in the 2006 FIFA World Cup?,Italy,name,Sports
Who took home the top honors in the 2006 FIFA World Cup?,Italy,name,Sports
Which nation became the champions of the 2006 FIFA World Cup?,Italy,name,Sports
Who was declared the winner of the 2006 FIFA World Cup?,Italy,name,Sports
Which team achieved victory in the 2006 FIFA World Cup?,Italy,name,Sports
Who clinched the title in the 2006 FIFA World Cup?,Italy,name,Sports
Which team emerged victorious in the 2006 FIFA World Cup?,Italy,name,Sports
Who won the 2006 FIFA World Cup?,Italy,name,Sports
Which nation triumphed in the 2006 FIFA World Cup?,Italy,name,Sports
Which team won the 2010 FIFA World Cup?,Spain,name,Sports
Who emerged as the victor of the 2010 FIFA World Cup?,Spain,name,Sports
Which nation lifted the trophy in the 2010 FIFA World Cup?,Spain,name,Sports
Who claimed the championship title in the 2010 FIFA World Cup?,Spain,name,Sports
Which team was crowned the winner of the 2010 FIFA World Cup?,Spain,name,Sports
Who was the triumphant team in the 2010 FIFA World Cup?,Spain,name,Sports
Which country secured the championship in the 2010 FIFA World Cup?,Spain,name,Sports
Who took home the top honors in the 2010 FIFA World Cup?,Spain,name,Sports
Which nation became the champions of the 2010 FIFA World Cup?,Spain,name,Sports
Who was declared the winner of the 2010 FIFA World Cup?,Spain,name,Sports
Which team achieved victory in the 2010 FIFA World Cup?,Spain,name,Sports
Who clinched the title in the 2010 FIFA World Cup?,Spain,name,Sports
Which team emerged victorious in the 2010 FIFA World Cup?,Spain,name,Sports
Who won the 2010 FIFA World Cup?,Spain,name,Sports
Which nation triumphed in the 2010 FIFA World Cup?,Spain,name,Sports
Which team won the 2014 FIFA World Cup?,Germany,name,Sports
Who emerged as the victor of the 2014 FIFA World Cup?,Germany,name,Sports
Which nation lifted the trophy in the 2014 FIFA World Cup?,Germany,name,Sports
Who claimed the championship title in the 2014 FIFA World Cup?,Germany,name,Sports
Which team was crowned the winner of the 2014 FIFA World Cup?,Germany,name,Sports
Who was the triumphant team in the 2014 FIFA World Cup?,Germany,name,Sports
Which country secured the championship in the 2014 FIFA World Cup?,Germany,name,Sports
Who took home the top honors in the 2014 FIFA World Cup?,Germany,name,Sports
Which nation became the champions of the 2014 FIFA World Cup?,Germany,name,Sports
Who was declared the winner of the 2014 FIFA World Cup?,Germany,name,Sports
Which team achieved victory in the 2014 FIFA World Cup?,Germany,name,Sports
Who clinched the title in the 2014 FIFA World Cup?,Germany,name,Sports
Which team emerged victorious in the 2014 FIFA World Cup?,Germany,name,Sports
Who won the 2014 FIFA World Cup?,Germany,name,Sports
Which nation triumphed in the 2014 FIFA World Cup?,Germany,name,Sports
Which team won the 2018 FIFA World Cup?,France,name,Sports
Who emerged as the victor of the 2018 FIFA World Cup?,France,name,Sports
Which nation lifted the trophy in the 2018 FIFA World Cup?,France,name,Sports
Who claimed the championship title in the 2018 FIFA World Cup?,France,name,Sports
Which team was crowned the winner of the 2018 FIFA World Cup?,France,name,Sports
Who was the triumphant team in the 2018 FIFA World Cup?,France,name,Sports
Which country secured the championship in the 2018 FIFA World Cup?,France,name,Sports
Who took home the top honors in the 2018 FIFA World Cup?,France,name,Sports
Which nation became the champions of the 2018 FIFA World Cup?,France,name,Sports
Who was declared the winner of the 2018 FIFA World Cup?,France,name,Sports
Which team achieved victory in the 2018 FIFA World Cup?,France,name,Sports
Who clinched the title in the 2018 FIFA World Cup?,France,name,Sports
Which team emerged victorious in the 2018 FIFA World Cup?,France,name,Sports
Who won the 2018 FIFA World Cup?,France,name,Sports
Which nation triumphed in the 2018 FIFA World Cup?,France,name,Sports
Which team won the 2022 FIFA World Cup?,Argentina,name,Sports
Who emerged as the victor of the 2022 FIFA World Cup?,Argentina,name,Sports
Which nation lifted the trophy in the 2022 FIFA World Cup?,Argentina,name,Sports
Who claimed the championship title in the 2022 FIFA World Cup?,Argentina,name,Sports
Which team was crowned the winner of the 2022 FIFA World Cup?,Argentina,name,Sports
Who was the triumphant team in the 2022 FIFA World Cup?,Argentina,name,Sports
Which country secured the championship in the 2022 FIFA World Cup?,Argentina,name,Sports
Who took home the top honors in the 2022 FIFA World Cup?,Argentina,name,Sports
Which nation became the champions of the 2022 FIFA World Cup?,Argentina,name,Sports
Who was declared the winner of the 2022 FIFA World Cup?,Argentina,name,Sports
Which team achieved victory in the 2022 FIFA World Cup?,Argentina,name,Sports
Who clinched the title in the 2022 FIFA World Cup?,Argentina,name,Sports
Which team emerged victorious in the 2022 FIFA World Cup?,Argentina,name,Sports
Who won the 2022 FIFA World Cup?,Argentina,name,Sports
Which nation triumphed in the 2022 FIFA World Cup?,Argentina,name,Sports
Who was the second-place finisher in the 1930 FIFA World Cup?,Argentina,name,Sports
Which nation secured the second position in the 1930 FIFA World Cup?,Argentina,name,Sports
What country came in second in the 1930 FIFA World Cup?,Argentina,name,Sports
Which team ended up as the runner-up in the 1930 FIFA World Cup?,Argentina,name,Sports
"In the 1930 FIFA World Cup, which nation was the second-best team?",Argentina,name,Sports
Who clinched the runner-up spot in the 1930 FIFA World Cup?,Argentina,name,Sports
Which country was the second-place holder in the 1930 FIFA World Cup?,Argentina,name,Sports
Which team secured the second position in the 1930 FIFA World Cup?,Argentina,name,Sports
What nation finished as the runner-up in the 1930 FIFA World Cup?,Argentina,name,Sports
"In the 1930 FIFA World Cup, which team came in second?",Argentina,name,Sports
Who ended up as the runner-up in the 1930 FIFA World Cup?,Argentina,name,Sports
Which country attained the runner-up position in the 1930 FIFA World Cup?,Argentina,name,Sports
Who was the second-best team in the 1930 FIFA World Cup?,Argentina,name,Sports
Which nation was the runner-up in the 1930 FIFA World Cup?,Argentina,name,Sports
What team took second place in the 1930 FIFA World Cup?,Argentina,name,Sports
Who was the second-place finisher in the 1934 FIFA World Cup?,Czechoslovakia,name,Sports
Which nation secured the second position in the 1934 FIFA World Cup?,Czechoslovakia,name,Sports
What country came in second in the 1934 FIFA World Cup?,Czechoslovakia,name,Sports
Which team ended up as the runner-up in the 1934 FIFA World Cup?,Czechoslovakia,name,Sports
"In the 1934 FIFA World Cup, which nation was the second-best team?",Czechoslovakia,name,Sports
Who clinched the runner-up spot in the 1934 FIFA World Cup?,Czechoslovakia,name,Sports
Which country was the second-place holder in the 1934 FIFA World Cup?,Czechoslovakia,name,Sports
Which team secured the second position in the 1934 FIFA World Cup?,Czechoslovakia,name,Sports
What nation finished as the runner-up in the 1934 FIFA World Cup?,Czechoslovakia,name,Sports
"In the 1934 FIFA World Cup, which team came in second?",Czechoslovakia,name,Sports
Who ended up as the runner-up in the 1934 FIFA World Cup?,Czechoslovakia,name,Sports
Which country attained the runner-up position in the 1934 FIFA World Cup?,Czechoslovakia,name,Sports
Who was the second-best team in the 1934 FIFA World Cup?,Czechoslovakia,name,Sports
Which nation was the runner-up in the 1934 FIFA World Cup?,Czechoslovakia,name,Sports
What team took second place in the 1934 FIFA World Cup?,Czechoslovakia,name,Sports
Who was the second-place finisher in the 1938 FIFA World Cup?,Hungary,name,Sports
Which nation secured the second position in the 1938 FIFA World Cup?,Hungary,name,Sports
What country came in second in the 1938 FIFA World Cup?,Hungary,name,Sports
Which team ended up as the runner-up in the 1938 FIFA World Cup?,Hungary,name,Sports
"In the 1938 FIFA World Cup, which nation was the second-best team?",Hungary,name,Sports
Who clinched the runner-up spot in the 1938 FIFA World Cup?,Hungary,name,Sports
Which country was the second-place holder in the 1938 FIFA World Cup?,Hungary,name,Sports
Which team secured the second position in the 1938 FIFA World Cup?,Hungary,name,Sports
What nation finished as the runner-up in the 1938 FIFA World Cup?,Hungary,name,Sports
"In the 1938 FIFA World Cup, which team came in second?",Hungary,name,Sports
Who ended up as the runner-up in the 1938 FIFA World Cup?,Hungary,name,Sports
Which country attained the runner-up position in the 1938 FIFA World Cup?,Hungary,name,Sports
Who was the second-best team in the 1938 FIFA World Cup?,Hungary,name,Sports
Which nation was the runner-up in the 1938 FIFA World Cup?,Hungary,name,Sports
What team took second place in the 1938 FIFA World Cup?,Hungary,name,Sports
Who was the second-place finisher in the 1950 FIFA World Cup?,Brazil,name,Sports
Which nation secured the second position in the 1950 FIFA World Cup?,Brazil,name,Sports
What country came in second in the 1950 FIFA World Cup?,Brazil,name,Sports
Which team ended up as the runner-up in the 1950 FIFA World Cup?,Brazil,name,Sports
"In the 1950 FIFA World Cup, which nation was the second-best team?",Brazil,name,Sports
Who clinched the runner-up spot in the 1950 FIFA World Cup?,Brazil,name,Sports
Which country was the second-place holder in the 1950 FIFA World Cup?,Brazil,name,Sports
Which team secured the second position in the 1950 FIFA World Cup?,Brazil,name,Sports
What nation finished as the runner-up in the 1950 FIFA World Cup?,Brazil,name,Sports
"In the 1950 FIFA World Cup, which team came in second?",Brazil,name,Sports
Who ended up as the runner-up in the 1950 FIFA World Cup?,Brazil,name,Sports
Which country attained the runner-up position in the 1950 FIFA World Cup?,Brazil,name,Sports
Who was the second-best team in the 1950 FIFA World Cup?,Brazil,name,Sports
Which nation was the runner-up in the 1950 FIFA World Cup?,Brazil,name,Sports
What team took second place in the 1950 FIFA World Cup?,Brazil,name,Sports
Who was the second-place finisher in the 1954 FIFA World Cup?,Hungary,name,Sports
Which nation secured the second position in the 1954 FIFA World Cup?,Hungary,name,Sports
What country came in second in the 1954 FIFA World Cup?,Hungary,name,Sports
Which team ended up as the runner-up in the 1954 FIFA World Cup?,Hungary,name,Sports
"In the 1954 FIFA World Cup, which nation was the second-best team?",Hungary,name,Sports
Who clinched the runner-up spot in the 1954 FIFA World Cup?,Hungary,name,Sports
Which country was the second-place holder in the 1954 FIFA World Cup?,Hungary,name,Sports
Which team secured the second position in the 1954 FIFA World Cup?,Hungary,name,Sports
What nation finished as the runner-up in the 1954 FIFA World Cup?,Hungary,name,Sports
"In the 1954 FIFA World Cup, which team came in second?",Hungary,name,Sports
Who ended up as the runner-up in the 1954 FIFA World Cup?,Hungary,name,Sports
Which country attained the runner-up position in the 1954 FIFA World Cup?,Hungary,name,Sports
