prompt_id,question,domain,domain_inconsistent,adversarial,dataset,n_samples,n_correct,n_incorrect,n_refused,n_definitive,frac_correct,frac_incorrect,frac_refused,hall_rate_strict,hall_rate_merged,p_halluc,score_mean,score_std,len_mean,len_std,H_sem,D_cos,D_cos_var,D_pair,K,sig2_S,label,type
q_014,Which stadium acted as the host for the 1990 FIFA World Cup final?,Humanities,False,False,defan,20,8,12,0,20,0.4,0.6,0.0,0.6,0.6,0.6,2.6,1.9595917942265426,58.4,17.43387507125137,3.0219280948700495,0.22306516766548157,0.029021859169006348,0.41723397374153137,12,0.05520937591791153,1,name
q_015,"In the 1970 FIFA World Cup, which nation was the second-best team?",Humanities,False,False,defan,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,1.6,1.42828568570857,24.8,21.82567295640618,1.8166422780855538,0.17233240604400635,0.03290087357163429,0.33154380321502686,7,0.08282323181629181,1,name
q_016,How many people turned up for 1986 FIFA World Cup final?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.21794494717703372,30.75,29.398766980946668,3.9219280948628366,0.3493298888206482,0.012496520765125751,0.6069772243499756,17,0.0383751280605793,1,numeric
q_017,"In the 2022 FIFA World Cup, which team came in second?",Humanities,True,False,defan,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,1.25,0.8874119674649424,12.4,13.24537655183876,0.5689955935849532,0.049122877418994904,0.013745421543717384,0.10087675601243973,3,0.029482297599315643,1,name
q_018,How many people attended the final match of the 2010 FIFA World Cup?,Social Sciences,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.4,0.48989794855663565,41.1,21.830941344797754,3.6219280948671635,0.27549558877944946,0.010285099036991596,0.5000982284545898,14,0.04325931891798973,1,numeric
q_019,What country came in second in the 2018 FIFA World Cup?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21.15,19.670472795537986,1.6437519544132886,0.16742880642414093,0.013232162222266197,0.3229738473892212,5,0.0640069991350174,1,name
q_020,Which nation triumphed in the 1974 FIFA World Cup?,Humanities,False,False,defan,20,19,1,0,20,0.95,0.05,0.0,0.05,0.05,0.05,4.85,0.6538348415311012,18.45,14.458475023321096,0.8841837197748609,0.0736345425248146,0.015813153237104416,0.14931276440620422,3,0.04026620835065842,0,name
q_021,Who ended up as the runner-up in the 1982 FIFA World Cup?,Humanities,False,False,defan,20,18,2,0,20,0.9,0.1,0.0,0.1,0.1,0.1,4.6,1.2,17.15,12.60267828677698,1.0219280948815916,0.08692904561758041,0.023498577997088432,0.1750543713569641,4,0.05209478735923767,0,name
q_022,Which country secured the championship in the 2002 FIFA World Cup?,Humanities,False,False,defan,20,15,5,0,20,0.75,0.25,0.0,0.25,0.25,0.25,4.0,1.7320508075688772,14.15,14.940799844720496,1.5567796494383834,0.13150231540203094,0.02624986506998539,0.2586439549922943,6,0.06456907838582993,0,name
q_023,What nation finished as the runner-up in the 1930 FIFA World Cup?,Humanities,False,False,defan,20,5,15,0,20,0.25,0.75,0.0,0.75,0.75,0.75,2.0,1.7320508075688772,25.75,24.626966926521828,2.433206219336396,0.2253076583147049,0.0065004052594304085,0.4208964705467224,7,0.06649837642908096,1,name
q_024,What was the attendance figure at the final match of the 1962 FIFA World Cup?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,48.35,33.28554491066656,4.221928094859951,0.3560648560523987,0.01008395105600357,0.6161555051803589,19,0.024730458855628967,1,numeric
q_025,Which nation was the runner-up in the 1970 FIFA World Cup?,Humanities,False,False,defan,20,5,15,0,20,0.25,0.75,0.0,0.75,0.75,0.75,2.0,1.7320508075688772,18.15,17.799648872941287,2.601609497047486,0.2308654487133026,0.01599702425301075,0.42992839217185974,8,0.04948917031288147,1,name
q_026,Who emerged as the victor of the 2018 FIFA World Cup?,Humanities,False,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.35,11.85864663441828,0.28639695711307084,0.03534867614507675,0.008735141716897488,0.07310281693935394,2,0.019645854830741882,0,name
q_027,Which nation lifted the trophy in the 1934 FIFA World Cup?,Humanities,False,False,defan,20,19,1,0,20,0.95,0.05,0.0,0.05,0.05,0.05,4.8,0.8717797887081349,9.05,10.121635243378414,0.7475846798202459,0.06631727516651154,0.016245689243078232,0.13498535752296448,3,0.036864668130874634,0,name
q_028,Which nation was the runner-up in the 2022 FIFA World Cup?,Humanities,True,False,defan,20,9,11,0,20,0.45,0.55,0.0,0.55,0.55,0.55,2.8,1.9899748742132397,10.6,10.321821544669332,1.4689955935835104,0.1465768814086914,0.0257770624011755,0.2859673500061035,4,0.06647013872861862,1,name
q_029,Who won the 1938 FIFA World Cup?,Humanities,False,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,16.9,16.336768346279506,0.9340680553726057,0.11259587854146957,0.00499727251008153,0.22369898855686188,2,0.04440133273601532,0,name
q_030,Which team ended up as the runner-up in the 1962 FIFA World Cup?,Humanities,False,False,defan,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,1.2,0.8717797887081346,14.25,13.423393758658799,1.6437519544132886,0.16397182643413544,0.020256249234080315,0.31690213084220886,5,0.060679636895656586,1,name
q_031,Who was the second-best team in the 1954 FIFA World Cup?,Humanities,False,False,defan,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,1.7,1.4177446878757827,44.15,30.49799173716197,3.7841837197575474,0.2673417329788208,0.0032670118380337954,0.4875914454460144,15,0.04231293499469757,1,name
q_032,Which stadium was the site of the final game of the 1938 FIFA World Cup?,Humanities,False,False,defan,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,1.45,1.2031209415515967,39.9,17.291327305906854,3.9219280948642794,0.3171404302120209,0.003328042570501566,0.5617924928665161,16,0.02473306842148304,1,name
q_033,Which stadium played host to the decisive match of the 1950 FIFA World Cup?,Humanities,False,False,defan,20,19,1,0,20,0.95,0.05,0.0,0.05,0.05,0.05,4.8,0.8717797887081348,38.05,18.147933766685398,1.9954618442311083,0.07952900975942612,0.0024453583173453808,0.16077175736427307,5,0.010650668293237686,0,name
q_034,Which team secured the second position in the 2006 FIFA World Cup?,Humanities,False,False,defan,20,12,8,0,20,0.6,0.4,0.0,0.4,0.4,0.4,3.45,1.909842925478428,48.2,24.040798655618744,2.4841837197676475,0.1692923605442047,0.01289915107190609,0.32623666524887085,8,0.045029398053884506,0,name
q_035,What was the attendance figure at the final match of the 1986 FIFA World Cup?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,25.95,24.620062956865077,4.121928094861394,0.34939512610435486,0.0033050619531422853,0.6070666909217834,18,0.02296425960958004,1,numeric
q_036,"In the 1934 FIFA World Cup, which nation was the second-best team?",Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,28.25,23.505052648313722,3.346439344653702,0.25782206654548645,0.007959031499922276,0.4728124439716339,12,0.042504776269197464,1,name
q_037,Which team won the 2006 FIFA World Cup?,Humanities,False,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14.5,15.461241864740362,0.8112781244562475,0.08996329456567764,0.012091951444745064,0.180877223610878,2,0.043808043003082275,0,name
q_038,How many individuals attended the final match of the 1950 FIFA World Cup?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,39.7,26.465260248106386,3.1414460711496517,0.2986045181751251,0.01858588494360447,0.5347835421562195,11,0.053680770099163055,1,numeric
q_039,What was the size of the audience at the final match of the 1974 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.1,0.3,58.75,21.384281610566205,3.6219280948671635,0.2693895995616913,0.009722864255309105,0.49074599146842957,14,0.03415300324559212,1,numeric
q_040,Who ended up as the runner-up in the 2018 FIFA World Cup?,Humanities,True,False,defan,20,6,14,0,20,0.3,0.7,0.0,0.7,0.7,0.7,2.25,1.8131464364468746,14.9,16.59186547679314,2.0199730940133187,0.1604338139295578,0.008987603709101677,0.3106614649295807,6,0.035901784896850586,1,name
q_041,Who won the 1986 FIFA World Cup?,Humanities,True,False,defan,20,8,12,0,20,0.4,0.6,0.0,0.6,0.6,0.6,2.65,1.9306734576307822,21.45,16.274135921762483,2.5464393446623594,0.20336243510246277,0.0013084904057905078,0.3845984637737274,6,0.04654223471879959,1,name
q_042,Which stadium was the site of the final game of the 1950 FIFA World Cup?,Humanities,False,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,38.7,14.31817027416562,1.7822287189080306,0.08137591928243637,0.0025052118580788374,0.1643470972776413,4,0.008637719787657261,0,name
q_043,Which team achieved victory in the 1958 FIFA World Cup?,Humanities,True,False,defan,20,13,7,0,20,0.65,0.35,0.0,0.35,0.35,0.35,3.6,1.9078784028338915,15.3,13.255564869140809,2.521928094875821,0.22270449995994568,0.014664946123957634,0.41664379835128784,8,0.057743996381759644,0,name
q_044,Who was the second-place finisher in the 1966 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,27.9,21.8355215188463,2.7638651219378696,0.2643805742263794,0.003650357946753502,0.48301461338996887,9,0.05645100399851799,1,name
q_045,What was the host stadium for the 1950 FIFA World Cup final?,Humanities,False,False,defan,20,19,1,0,20,0.95,0.05,0.0,0.05,0.05,0.05,4.85,0.6538348415311012,35.1,11.532129031536199,0.28639695711307084,0.05675464868545532,0.005987974349409342,0.11609281599521637,2,0.01548733003437519,0,name
q_046,Which stadium served as the location for the final match of the 1962 FIFA World Cup?,Humanities,False,False,defan,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,1.55,1.2031209415515964,38.25,17.82659530028098,3.108694969546972,0.23689644038677216,0.014633892104029655,0.4396558701992035,11,0.04730812460184097,1,name
q_047,What stadium was chosen to hold the final showdown of the 1982 FIFA World Cup?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.21794494717703372,43.9,17.8294699865139,2.521928094875821,0.17239497601985931,0.01831119693815708,0.3316524922847748,8,0.044927939772605896,1,name
q_048,How many fans in the stands watched the final match of the 1950 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.21794494717703372,55.45,17.970740107185346,3.68418371975899,0.2183082550764084,0.009137578308582306,0.4094296395778656,14,0.02499323897063732,1,numeric
q_049,attendance of the 2018 FIFA World Cup final?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.1,0.3,28.3,21.904565734111234,3.1841837197633187,0.2016110122203827,0.0069778054021298885,0.3816579580307007,11,0.027562247589230537,1,numeric
q_050,Which team ended up as the runner-up in the 2022 FIFA World Cup?,Humanities,True,False,defan,20,7,13,0,20,0.35,0.65,0.0,0.65,0.65,0.65,2.45,1.8834808201837365,10.4,7.611832893594026,1.395461844232551,0.12163428962230682,0.01984787918627262,0.24049879610538483,4,0.05072815716266632,1,name
q_051,What was the number of attendees at the final match of the 2018 FIFA World Cup?,Social Sciences,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.21794494717703372,31.5,20.71834935510066,3.784183719757547,0.341621994972229,0.013151021674275398,0.5963560342788696,15,0.032583944499492645,1,numeric
q_052,Which country was the second-place holder in the 2002 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.21794494717703372,15.5,19.589538024159733,1.4788979029817082,0.20139531791210175,0.04159773141145706,0.3812950849533081,4,0.11449194699525833,1,name
q_053,Which stadium played host to the decisive match of the 2014 FIFA World Cup?,Humanities,True,False,defan,20,16,4,0,20,0.8,0.2,0.0,0.2,0.2,0.2,4.3,1.4177446878757827,47.15,21.112259471690848,2.2577174691200494,0.15974381566047668,0.03361404314637184,0.30944156646728516,7,0.06189849600195885,0,name
q_054,In which stadium did the climax of the 2002 FIFA World Cup occur?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.15,0.3570714214271425,41.85,23.544160634858063,3.7219280948657207,0.3057931065559387,0.02918919548392296,0.5453437566757202,15,0.04722458869218826,1,name
q_055,How many spectators were present at the final match of the 1950 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.15,0.3570714214271425,35.55,24.3320262206007,3.303701696040035,0.2817763388156891,0.02595675364136696,0.5096365809440613,12,0.052222929894924164,1,numeric
q_056,Who was declared the winner of the 1998 FIFA World Cup?,Humanities,True,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.1,16.201543136380558,0.609840304713515,0.08258195221424103,0.01963857375085354,0.16667777299880981,2,0.05235225334763527,0,name
q_057,Which stadium served as the location for the final match of the 2006 FIFA World Cup?,Humanities,True,False,defan,20,4,16,0,20,0.2,0.8,0.0,0.8,0.8,0.8,1.95,1.5644487847162016,53.0,23.65586608010791,3.541446071145323,0.3046816885471344,0.02073158696293831,0.5437184572219849,14,0.040283121168613434,1,name
q_058,In what stadium was the 2010 FIFA World Cup final event held?,Humanities,True,False,defan,20,10,10,0,20,0.5,0.5,0.0,0.5,0.5,0.5,3.1,1.9209372712298547,55.3,13.971757226634022,3.1016094970417147,0.2347680628299713,0.026300376281142235,0.43623167276382446,12,0.05277097225189209,0,name
q_059,What was the turnout for the final match of the 2014 FIFA World Cup?,Social Sciences,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.3,0.45825756949558394,45.15,24.30077159268816,3.6841837197575473,0.31109580397605896,0.022773239761590958,0.5530644059181213,15,0.04777298867702484,1,numeric
q_060,Who was the second-best team in the 1930 FIFA World Cup?,Humanities,True,False,defan,20,5,15,0,20,0.25,0.75,0.0,0.75,0.75,0.75,2.1,1.7,21.85,19.837527567718716,3.2219280948714926,0.22632794082164764,0.016105657443404198,0.4225594401359558,11,0.04655041918158531,1,name
q_061,What nation finished as the runner-up in the 1962 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.21794494717703372,28.15,23.759787456961813,3.284183719761876,0.2760677933692932,0.0048110270872712135,0.5009708404541016,12,0.05589902400970459,1,name
q_062,How many fans in the stands watched the final match of the 2014 FIFA World Cup?,Social Sciences,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.15,0.3570714214271425,51.1,20.106963967740132,3.68418371975899,0.2811910808086395,0.016314344480633736,0.5087513327598572,14,0.04565754532814026,1,numeric
q_063,Which stadium served as the location for the final match of the 1966 FIFA World Cup?,Humanities,True,False,defan,20,16,4,0,20,0.8,0.2,0.0,0.2,0.2,0.2,4.2,1.6,37.5,15.679604586851035,1.7387586809077948,0.12112079560756683,0.017835509032011032,0.23954881727695465,5,0.04026493430137634,0,name
q_064,What was the turnout for the final match of the 1970 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.25,0.4330127018922193,50.75,25.077629473297513,4.121928094861394,0.30339735746383667,0.025470729917287827,0.541836678981781,18,0.03913959115743637,1,numeric
q_065,What stadium was the venue for the 1966 FIFA World Cup final?,Humanities,True,False,defan,20,14,6,0,20,0.7,0.3,0.0,0.3,0.3,0.3,3.8,1.8330302779823358,23.95,8.428967908350344,1.5788979029802657,0.10247533023357391,0.009862126782536507,0.2046836018562317,5,0.027858033776283264,0,name
q_066,What was the size of the audience at the final match of the 1982 FIFA World Cup?,Humanities,True,False,defan,20,6,14,0,20,0.3,0.7,0.0,0.7,0.7,0.7,2.5,1.6881943016134133,56.7,29.831359338789774,3.5219280948686063,0.30035218596458435,0.023111287504434586,0.5373609066009521,13,0.05766069144010544,1,numeric
q_067,Who was the second-best team in the 1978 FIFA World Cup?,Humanities,True,False,defan,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,1.55,1.2031209415515967,28.15,21.808885803726884,2.821928094872935,0.20668664574623108,0.01662648841738701,0.3901621699333191,10,0.05223890766501427,1,name
q_068,Who was the second-place finisher in the 1962 FIFA World Cup?,Sports,False,False,defan,20,4,16,0,20,0.2,0.8,0.0,0.8,0.8,0.8,2.6,1.2,27.95,24.009321106603576,3.270950594438798,0.29697924852371216,0.003477746620774269,0.5323808193206787,11,0.03935850411653519,1,name
q_069,Which nation secured the second position in the 2002 FIFA World Cup?,Sports,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,45.25,25.536003994360588,2.1783898247148636,0.21138083934783936,0.0183496605604887,0.3979787826538086,6,0.08119519054889679,1,name
q_070,Final match stadium of the 1978 FIFA World Cup?,Sports,False,False,defan,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,1.95,0.804673846971554,37.7,15.514831613652788,3.0219280948700495,0.20602937042713165,0.02137463167309761,0.3890639841556549,12,0.04233664646744728,1,name
q_071,Which stadium acted as the host for the 2018 FIFA World Cup final?,Sports,False,False,defan,20,18,2,0,20,0.9,0.1,0.0,0.1,0.1,0.1,4.6,1.2,40.15,20.20958930804879,1.360964047439353,0.12298010289669037,0.0062760235741734505,0.24298536777496338,3,0.026848338544368744,0,name
q_072,Which stadium acted as the host for the 2022 FIFA World Cup final?,Sports,True,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,37.8,15.147937153289222,1.3527241956203266,0.06830130517482758,0.0038173068314790726,0.13888156414031982,3,0.01302360836416483,0,name
q_073,Which nation secured the second position in the 1966 FIFA World Cup?,Sports,False,False,defan,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,2.2,0.9797958971132713,35.8,24.995199539111503,3.1016094970417147,0.2817048132419586,0.015232170931994915,0.5095286965370178,12,0.05755141004920006,1,name
q_074,Who won the 1990 FIFA World Cup?,Sports,False,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.8,14.538225476308998,0.9917601481766455,0.08617587387561798,0.011059746146202087,0.17360569536685944,3,0.03946070745587349,0,name
q_075,How many fans were in the stands for the final match of the 2006 FIFA World Cup?,Sports,True,False,defan,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,2.1,0.7000000000000001,43.6,25.190077411552352,3.6841837197575473,0.3107994794845581,0.016965128481388092,0.5526343584060669,15,0.05638061463832855,1,numeric
q_076,How many individuals attended the final match of the 2014 FIFA World Cup?,Sports,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.9,0.3,25.7,18.844362552232962,4.08418371975322,0.30844178795814514,0.006810174789279699,0.5492076873779297,18,0.029310571029782295,1,numeric
q_077,What was the crowd size at the final match of the 1954 FIFA World Cup?,Sports,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.85,0.3570714214271425,41.05,26.13326424310595,3.8841837197561055,0.32693976163864136,0.013815412297844887,0.5757789015769958,16,0.031491223722696304,1,numeric
q_078,How many people turned up for 1970 FIFA World Cup final?,Sports,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.95,0.21794494717703372,47.85,29.00564600211483,3.7219280948657207,0.29380229115486145,0.01658502034842968,0.5276682376861572,15,0.03544571250677109,1,numeric
q_079,Who took home the top honors in the 1938 FIFA World Cup?,Sports,True,False,defan,20,19,1,0,20,0.95,0.05,0.0,0.05,0.05,0.05,4.85,0.6538348415311012,15.25,19.745569123223568,1.0219280948815916,0.09231997281312943,0.01961442641913891,0.18538637459278107,4,0.04846768453717232,0,name
q_080,Which team ended up as the runner-up in the 2006 FIFA World Cup?,Sports,True,False,defan,20,13,7,0,20,0.65,0.35,0.0,0.35,0.35,0.35,3.85,1.5898113095584643,20.85,20.281210516140302,2.3192407046238643,0.1826750785112381,0.025083592161536217,0.34945249557495117,9,0.055138345807790756,0,name
q_081,In what stadium did the final match of the 2010 FIFA World Cup take place?,Sports,False,False,defan,20,4,16,0,20,0.2,0.8,0.0,0.8,0.8,0.8,2.1,1.5132745950421556,48.0,13.080519867344723,4.121928094861394,0.2844460904598236,0.02010805532336235,0.513666033744812,18,0.03286774456501007,1,name
q_082,Which country secured the championship in the 1966 FIFA World Cup?,Social Sciences,False,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,31.35,24.799747982590468,1.360964047439353,0.15249109268188477,0.0007835767464712262,0.2965564429759979,3,0.057522252202034,0,name
q_083,What country came in second in the 1970 FIFA World Cup?,Sports,False,False,defan,20,10,10,0,20,0.5,0.5,0.0,0.5,0.5,0.5,3.5,1.5,12.95,12.351012104277121,1.6954618442311082,0.15730027854442596,0.012632623314857483,0.30511292815208435,5,0.047734782099723816,0,name
q_084,Who took home the top honors in the 1934 FIFA World Cup?,Sports,True,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,16.05,22.305772795399854,0.8841837197748609,0.08885441720485687,0.01694515533745289,0.17875128984451294,3,0.04511776939034462,0,name
q_085,Who was the triumphant team in the 2018 FIFA World Cup?,Sports,True,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.25,6.227961143102934,0.5689955935849532,0.04967179149389267,0.010613106191158295,0.10197480022907257,3,0.024272577837109566,0,name
q_086,How many people attended the final match of the 2014 FIFA World Cup?,Sports,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.75,0.4330127018922193,39.9,21.988406035909012,3.9841837197546632,0.3134573698043823,0.018879462033510208,0.556483268737793,17,0.03866606578230858,1,numeric
q_087,Who clinched the title in the 1962 FIFA World Cup?,Sports,True,False,defan,20,18,2,0,20,0.9,0.1,0.0,0.1,0.1,0.1,4.65,1.061838029079765,13.15,13.824886979646527,1.1219280948801489,0.11843638122081757,0.03894687443971634,0.23457446694374084,5,0.08139528334140778,0,name
q_088,In what stadium did the final match of the 2002 FIFA World Cup take place?,Sports,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.35,0.4769696007084729,48.7,28.210104572652686,3.6841837197575473,0.33050626516342163,0.03155384957790375,0.5808190703392029,15,0.048530302941799164,1,name
q_089,How many individuals attended the final match of the 1954 FIFA World Cup?,Sports,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.85,0.3570714214271425,24.35,24.302829053425032,4.121928094861394,0.36446601152420044,0.011350010521709919,0.6274700164794922,18,0.029846131801605225,1,numeric
q_090,What was the attendance figure at the final match of the 1938 FIFA World Cup?,Sports,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.75,0.4330127018922193,35.55,26.947124150825445,3.6841837197575473,0.31334444880485535,0.007335545029491186,0.5563201308250427,15,0.04032500460743904,1,numeric
