id,prompt_id,question,reference_answer,model_answer,type,domain_fixed,correctness_fixed,label,p_hat,y_i,p_hat_bin
defan_00002_t1.0_ans12,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738",Not known,numeric,Sports,refused,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans13,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738",Not available.,numeric,Sports,refused,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans14,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738",Not provided (in the provided text),numeric,Sports,refused,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans15,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","75,340",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans16,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","72,698",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans17,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","73,200",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans18,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","573,712",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00002_t1.0_ans19,defan_00002_t1.0,What was the total audience figure in the stands for the final match of the 2014 FIFA World Cup?,"74,738","76,808",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00003_t1.0_ans00,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans01,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans02,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans03,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans04,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans05,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans06,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans07,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans08,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans09,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans10,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans11,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans12,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans13,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans14,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans15,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans16,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans17,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans18,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00003_t1.0_ans19,defan_00003_t1.0,Which team won the 2002 FIFA World Cup?,Brazil,Brazil,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00004_t1.0_ans00,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans01,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Maracanã Stadium,name,Sports,hallucination,1,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans02,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans03,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Rio de Janeiro,name,Sports,hallucination,1,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans04,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans05,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans06,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Estadio Centenario in Montevideo,name,Sports,correct,0,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans07,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans08,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans09,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Rio de Janeiro's Maracanã Stadium,name,Sports,hallucination,1,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans10,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Rio de Janeiro,name,Sports,hallucination,1,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans11,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Maracanã Stadium,name,Sports,hallucination,1,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans12,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Maracanã Stadium,name,Sports,hallucination,1,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans13,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans14,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Estadio Centenario,name,Sports,correct,0,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans15,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Estadio Centenario in Montevideo,name,Sports,correct,0,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans16,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,"Estadio Centenario, Montevideo",name,Sports,correct,0,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans17,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Maracanã,name,Sports,hallucination,1,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans18,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Maracanã Stadium,name,Sports,hallucination,1,0.45,0,"(0.4, 0.6]"
defan_00004_t1.0_ans19,defan_00004_t1.0,In which stadium did the 1930 FIFA World Cup come to its conclusion?,Estadio Centenario,Maracanã Stadium,name,Sports,hallucination,1,0.45,0,"(0.4, 0.6]"
defan_00005_t1.0_ans00,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans01,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans02,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans03,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans04,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans05,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans06,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans07,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans08,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans09,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans10,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans11,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans12,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans13,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans14,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans15,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans16,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans17,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans18,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00005_t1.0_ans19,defan_00005_t1.0,Which team emerged victorious in the 2018 FIFA World Cup?,France,France,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00006_t1.0_ans00,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","75,000",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans01,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","90,409",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans02,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","70,000",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans03,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","90,000 (approximately)",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans04,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000",Not known,numeric,Sports,refused,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans05,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","90,409",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans06,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","75,857",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans07,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","88,743",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans08,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","90,235",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans09,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","90,245",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans10,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","Over 90,000",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans11,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","89,768",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans12,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","90,755",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans13,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","75,000",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans14,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","75,000",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans15,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","75,000",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans16,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","75,000",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans17,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000",Not specified,numeric,Sports,refused,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans18,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000",Not available,numeric,Sports,refused,1,1.0,1,"(0.8, 1.0]"
defan_00006_t1.0_ans19,defan_00006_t1.0,What was the crowd size at the final match of the 1998 FIFA World Cup?,"80,000","89,737",numeric,Sports,hallucination,1,1.0,1,"(0.8, 1.0]"
defan_00007_t1.0_ans00,defan_00007_t1.0,Which stadium acted as the host for the 1966 FIFA World Cup final?,Wembley Stadium,Wembley Stadium,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00007_t1.0_ans01,defan_00007_t1.0,Which stadium acted as the host for the 1966 FIFA World Cup final?,Wembley Stadium,Wembley,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00007_t1.0_ans02,defan_00007_t1.0,Which stadium acted as the host for the 1966 FIFA World Cup final?,Wembley Stadium,Wembley Stadium,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00007_t1.0_ans03,defan_00007_t1.0,Which stadium acted as the host for the 1966 FIFA World Cup final?,Wembley Stadium,Wembley Stadium,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
defan_00007_t1.0_ans04,defan_00007_t1.0,Which stadium acted as the host for the 1966 FIFA World Cup final?,Wembley Stadium,Wembley,name,Sports,correct,0,0.0,0,"(-0.001, 0.2]"
