prompt_id,question,domain,domain_inconsistent,adversarial,dataset,n_samples,n_correct,n_incorrect,n_refused,n_definitive,frac_correct,frac_incorrect,frac_refused,hall_rate_strict,hall_rate_merged,p_halluc,score_mean,score_std,len_mean,len_std,H_sem,D_cos,D_cos_var,D_pair,K,sig2_S,label,type,domain_canonical,lam2,lam3,SGR,spectral_entropy,ipr_fiedler,HFER,largest_cluster_frac,second_largest_cluster_frac,singleton_cluster_frac
q_010,Which team won the 1950 FIFA World Cup?,Humanities,True,False,defan,20,18,2,0,20,0.9,0.1,0.0,0.1,0.1,0.1,4.6,1.2,15.4,15.0046659409665,1.2567796494412689,0.1149086132645607,0.0198954902589321,0.2280137985944748,4,0.0527503564953804,0,name,,8.748030662536621,9.61305046081543,0.9100160962532183,4.222532749176025,0.5664641857147217,21.11949621616418,0.7,0.2,0.1
q_011,Which nation triumphed in the 2022 FIFA World Cup?,Humanities,True,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.2,10.745231500530826,0.2863969571130708,0.0271412674337625,0.0072155334055423,0.0563640929758548,2,0.0161811411380767,0,name,,11.308749198913574,18.916881561279297,0.5978125494047164,4.240419864654541,0.9024840593338013,35.32128858489091,0.95,0.05,0.05
q_012,Who was the triumphant team in the 1938 FIFA World Cup?,Humanities,False,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.05,18.736261633527644,0.609840304713515,0.0671888142824173,0.013596748933196,0.1366981267929077,2,0.0348525457084178,0,name,,10.819805145263672,11.995351791381836,0.9019998182977222,4.232698440551758,0.6031129956245422,39.83837207946908,0.85,0.15,0.0
q_013,What was the final match attendance for the 1966 FIFA World Cup?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,44.2,28.00285699709942,3.921928094862837,0.3586906790733337,0.0248286630958318,0.6197077631950378,17,0.0460277050733566,1,numeric,,4.077742576599121,4.194121837615967,0.9722518145048651,4.181690216064453,0.26197755336761475,16.265694505741067,0.2,0.05,0.8
q_014,Which stadium acted as the host for the 1990 FIFA World Cup final?,Humanities,False,False,defan,20,8,12,0,20,0.4,0.6,0.0,0.6,0.6,0.6,2.6,1.9595917942265424,58.4,17.43387507125137,3.021928094870049,0.2230651676654815,0.0290218591690063,0.4172339737415313,12,0.0552093759179115,1,name,,4.18004035949707,7.224977016448975,0.5785541385384212,4.196518898010254,0.8751232028007507,13.143496168854654,0.4,0.1,0.5
q_015,"In the 1970 FIFA World Cup, which nation was the second-best team?",Humanities,False,False,defan,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,1.6,1.42828568570857,24.8,21.82567295640618,1.8166422780855536,0.1723324060440063,0.0329008735716342,0.3315438032150268,7,0.0828232318162918,1,name,,6.456451416015625,7.592870235443115,0.8503307981445468,4.1981658935546875,0.23940888047218323,24.378424663227634,0.65,0.1,0.25
q_016,How many people turned up for 1986 FIFA World Cup final?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.2179449471770337,30.75,29.398766980946668,3.921928094862837,0.3493298888206482,0.0124965207651257,0.6069772243499756,17,0.0383751280605793,1,numeric,,4.136938571929932,4.8147406578063965,0.8592235506247375,4.210628509521484,0.42603960633277893,14.545569853732104,0.2,0.05,0.8
q_017,"In the 2022 FIFA World Cup, which team came in second?",Humanities,True,False,defan,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,1.25,0.8874119674649424,12.4,13.24537655183876,0.5689955935849532,0.0491228774189949,0.0137454215437173,0.1008767560124397,3,0.0294822975993156,1,name,,9.858926773071289,12.220449447631836,0.806756478740989,4.232926368713379,0.891156017780304,30.46296166961565,0.9,0.05,0.1
q_018,How many people attended the final match of the 2010 FIFA World Cup?,Social Sciences,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.4,0.4898979485566356,41.1,21.830941344797758,3.621928094867164,0.2754955887794494,0.0102850990369915,0.5000982284545898,14,0.0432593189179897,1,numeric,,4.745762348175049,6.778560161590576,0.7001136270892562,4.222451686859131,0.8744372129440308,14.111669234834494,0.2,0.1,0.5
q_019,What country came in second in the 2018 FIFA World Cup?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21.15,19.670472795537982,1.6437519544132886,0.1674288064241409,0.0132321622222661,0.3229738473892212,5,0.0640069991350174,1,name,,8.695520401000977,8.826569557189941,0.9851528767556423,4.226553916931152,0.43460291624069214,34.517181844893,0.55,0.3,0.15
q_020,Which nation triumphed in the 1974 FIFA World Cup?,Humanities,False,False,defan,20,19,1,0,20,0.95,0.05,0.0,0.05,0.05,0.05,4.85,0.6538348415311012,18.45,14.458475023321096,0.8841837197748609,0.0736345425248146,0.0158131532371044,0.1493127644062042,3,0.0402662083506584,0,name,,10.269841194152832,11.156450271606445,0.9205294636668296,4.229886054992676,0.36123576760292053,38.461734283907845,0.8,0.15,0.05
q_021,Who ended up as the runner-up in the 1982 FIFA World Cup?,Humanities,False,False,defan,20,18,2,0,20,0.9,0.1,0.0,0.1,0.1,0.1,4.6,1.2,17.15,12.60267828677698,1.0219280948815916,0.0869290456175804,0.0234985779970884,0.1750543713569641,4,0.0520947873592376,0,name,,8.662140846252441,9.81137466430664,0.8828671958615815,4.219997406005859,0.40107810497283936,30.901936504040805,0.8,0.1,0.1
q_022,Which country secured the championship in the 2002 FIFA World Cup?,Humanities,False,False,defan,20,15,5,0,20,0.75,0.25,0.0,0.25,0.25,0.25,4.0,1.7320508075688772,14.15,14.940799844720496,1.5567796494383834,0.1315023154020309,0.0262498650699853,0.2586439549922943,6,0.0645690783858299,0,name,,7.984025955200195,9.390458106994629,0.8502275241237585,4.2132086753845215,0.5733325481414795,30.112007944116613,0.7,0.1,0.2
q_023,What nation finished as the runner-up in the 1930 FIFA World Cup?,Humanities,False,False,defan,20,5,15,0,20,0.25,0.75,0.0,0.75,0.75,0.75,2.0,1.7320508075688772,25.75,24.626966926521828,2.433206219336396,0.2253076583147049,0.0065004052594304,0.4208964705467224,7,0.0664983764290809,1,name,,6.30963134765625,8.221355438232422,0.7674685016827498,4.23018741607666,0.16834259033203125,24.561334694037214,0.3,0.3,0.15
q_024,What was the attendance figure at the final match of the 1962 FIFA World Cup?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,48.35,33.28554491066656,4.221928094859951,0.3560648560523987,0.0100839510560035,0.6161555051803589,19,0.0247304588556289,1,numeric,,4.182511329650879,5.3284783363342285,0.7849354089105519,4.21852970123291,0.5870457887649536,15.319867342264388,0.1,0.05,0.9
q_025,Which nation was the runner-up in the 1970 FIFA World Cup?,Humanities,False,False,defan,20,5,15,0,20,0.25,0.75,0.0,0.75,0.75,0.75,2.0,1.7320508075688772,18.15,17.799648872941287,2.601609497047486,0.2308654487133026,0.0159970242530107,0.4299283921718597,8,0.0494891703128814,1,name,,6.55553674697876,7.909177780151367,0.8288518631028648,4.218624591827393,0.4981950521469116,23.487843861574106,0.35,0.2,0.2
q_026,Who emerged as the victor of the 2018 FIFA World Cup?,Humanities,False,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.35,11.85864663441828,0.2863969571130708,0.0353486761450767,0.0087351417168974,0.0731028169393539,2,0.0196458548307418,0,name,,10.281281471252441,18.468839645385742,0.5566825887870163,4.238460063934326,0.9025254845619202,32.11392451677057,0.95,0.05,0.05
q_027,Which nation lifted the trophy in the 1934 FIFA World Cup?,Humanities,False,False,defan,20,19,1,0,20,0.95,0.05,0.0,0.05,0.05,0.05,4.8,0.8717797887081349,9.05,10.121635243378414,0.7475846798202459,0.0663172751665115,0.0162456892430782,0.1349853575229644,3,0.0368646681308746,0,name,,9.728962898254395,10.885443687438965,0.8937589655204723,4.229559898376465,0.6579799652099609,33.9833836787825,0.85,0.1,0.05
q_028,Which nation was the runner-up in the 2022 FIFA World Cup?,Humanities,True,False,defan,20,9,11,0,20,0.45,0.55,0.0,0.55,0.55,0.55,2.8,1.98997487421324,10.6,10.321821544669332,1.4689955935835104,0.1465768814086914,0.0257770624011755,0.2859673500061035,4,0.0664701387286186,1,name,,3.3183765411376953,8.7839937210083,0.37777537675414347,4.204296112060547,0.9020267128944397,10.35873490463473,0.45,0.45,0.1
q_029,Who won the 1938 FIFA World Cup?,Humanities,False,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,16.9,16.336768346279506,0.9340680553726056,0.1125958785414695,0.0049972725100815,0.2236989885568618,2,0.0444013327360153,0,name,,11.093965530395508,13.393293380737305,0.8283224451775248,4.239940643310547,0.08340068906545639,47.02290098569938,0.65,0.35,0.0
q_030,Which team ended up as the runner-up in the 1962 FIFA World Cup?,Humanities,False,False,defan,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,1.2,0.8717797887081346,14.25,13.4233937586588,1.6437519544132886,0.1639718264341354,0.0202562492340803,0.3169021308422088,5,0.0606796368956565,1,name,,6.917510032653809,7.567592144012451,0.9140965701998146,4.216395854949951,0.8681497573852539,21.583237438985634,0.55,0.3,0.15
q_031,Who was the second-best team in the 1954 FIFA World Cup?,Humanities,False,False,defan,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,1.7,1.417744687875783,44.15,30.49799173716197,3.7841837197575474,0.2673417329788208,0.0032670118380337,0.4875914454460144,15,0.0423129349946975,1,name,,6.47166633605957,8.664752960205078,0.7468956539572758,4.236351013183594,0.0798339992761612,27.030332968620314,0.15,0.1,0.55
q_032,Which stadium was the site of the final game of the 1938 FIFA World Cup?,Humanities,False,False,defan,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,1.45,1.2031209415515969,39.9,17.291327305906854,3.92192809486428,0.3171404302120209,0.0033280425705015,0.5617924928665161,16,0.024733068421483,1,name,,6.440229892730713,6.940923690795898,0.9278635193745507,4.236866474151611,0.1275314837694168,25.814427645516844,0.1,0.1,0.6
q_033,Which stadium played host to the decisive match of the 1950 FIFA World Cup?,Humanities,False,False,defan,20,19,1,0,20,0.95,0.05,0.0,0.05,0.05,0.05,4.8,0.8717797887081348,38.05,18.1479337666854,1.9954618442311085,0.0795290097594261,0.0024453583173453,0.160771757364273,5,0.0106506682932376,0,name,,13.490549087524414,15.527771949768066,0.8688013401071301,4.2450432777404785,0.8592640161514282,43.363014969833785,0.45,0.2,0.05
q_034,Which team secured the second position in the 2006 FIFA World Cup?,Humanities,False,False,defan,20,12,8,0,20,0.6,0.4,0.0,0.4,0.4,0.4,3.45,1.909842925478428,48.2,24.040798655618744,2.4841837197676475,0.1692923605442047,0.012899151071906,0.3262366652488708,8,0.0450293980538845,0,name,,9.007733345031738,10.348930358886719,0.8704023530888575,4.228921413421631,0.12318887561559677,36.462890967993644,0.4,0.2,0.25
q_035,What was the attendance figure at the final match of the 1986 FIFA World Cup?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,25.95,24.62006295686508,4.121928094861394,0.3493951261043548,0.0033050619531422,0.6070666909217834,18,0.02296425960958,1,numeric,,5.345312118530273,6.263321876525879,0.853430849535213,4.235272407531738,0.1202879324555397,21.972271742216435,0.1,0.1,0.8
q_036,"In the 1934 FIFA World Cup, which nation was the second-best team?",Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,28.25,23.50505264831372,3.346439344653702,0.2578220665454864,0.0079590314999222,0.4728124439716339,12,0.0425047762691974,1,name,,5.971091270446777,7.908357620239258,0.7550355648580006,4.228814125061035,0.7039585709571838,19.93835204528159,0.2,0.15,0.4
q_037,Which team won the 2006 FIFA World Cup?,Humanities,False,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14.5,15.461241864740362,0.8112781244562475,0.0899632945656776,0.012091951444745,0.180877223610878,2,0.0438080430030822,0,name,,10.600898742675781,11.898980140686035,0.8909081793925495,4.2331719398498535,0.2959238290786743,41.643999837320735,0.75,0.25,0.0
q_038,How many individuals attended the final match of the 1950 FIFA World Cup?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,39.7,26.465260248106382,3.141446071149652,0.2986045181751251,0.0185858849436044,0.5347835421562195,11,0.053680770099163,1,numeric,,4.514196395874023,4.813045978546143,0.9379084277641836,4.202591896057129,0.8375564813613892,14.44876403748276,0.25,0.2,0.35
q_039,What was the size of the audience at the final match of the 1974 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.1,0.3,58.75,21.384281610566205,3.621928094867164,0.2693895995616913,0.0097228642553091,0.4907459914684295,14,0.0341530032455921,1,numeric,,5.7709174156188965,7.209760665893555,0.8004312036201767,4.226350784301758,0.48623916506767273,19.031078658585102,0.2,0.1,0.5
q_040,Who ended up as the runner-up in the 2018 FIFA World Cup?,Humanities,True,False,defan,20,6,14,0,20,0.3,0.7,0.0,0.7,0.7,0.7,2.25,1.8131464364468743,14.9,16.59186547679314,2.0199730940133187,0.1604338139295578,0.0089876037091016,0.3106614649295807,6,0.0359017848968505,1,name,,9.238031387329102,10.227829933166504,0.9032249693886713,4.2342963218688965,0.8352785110473633,29.14191410383455,0.45,0.3,0.15
q_041,Who won the 1986 FIFA World Cup?,Humanities,True,False,defan,20,8,12,0,20,0.4,0.6,0.0,0.6,0.6,0.6,2.65,1.9306734576307825,21.45,16.274135921762483,2.5464393446623594,0.2033624351024627,0.0013084904057905,0.3845984637737274,6,0.0465422347187995,1,name,,8.552764892578125,10.84457778930664,0.7886673922082015,4.241429805755615,0.06743203103542328,35.93379272824677,0.2,0.2,0.0
q_042,Which stadium was the site of the final game of the 1950 FIFA World Cup?,Humanities,False,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,38.7,14.31817027416562,1.7822287189080306,0.0813759192824363,0.0025052118580788,0.1643470972776413,4,0.0086377197876572,0,name,,14.726644515991211,14.991299629211426,0.9823460854235759,4.245150566101074,0.5483554005622864,45.750953197996296,0.45,0.3,0.0
q_043,Which team achieved victory in the 1958 FIFA World Cup?,Humanities,True,False,defan,20,13,7,0,20,0.65,0.35,0.0,0.35,0.35,0.35,3.6,1.9078784028338915,15.3,13.255564869140809,2.521928094875821,0.2227044999599456,0.0146649461239576,0.4166437983512878,8,0.0577439963817596,0,name,,6.884913444519043,9.309049606323242,0.7395935920726512,4.22136926651001,0.11597074568271637,27.079487961398172,0.4,0.2,0.2
q_044,Who was the second-place finisher in the 1966 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,27.9,21.8355215188463,2.7638651219378696,0.2643805742263794,0.0036503579467535,0.4830146133899688,9,0.0564510039985179,1,name,,7.015212535858154,7.624759674072266,0.9200568708431003,4.234086036682129,0.09643572568893433,27.634448460604744,0.35,0.15,0.25
q_045,What was the host stadium for the 1950 FIFA World Cup final?,Humanities,False,False,defan,20,19,1,0,20,0.95,0.05,0.0,0.05,0.05,0.05,4.85,0.6538348415311012,35.1,11.5321290315362,0.2863969571130708,0.0567546486854553,0.0059879743494093,0.1160928159952163,2,0.0154873300343751,0,name,,11.222933769226074,16.59984016418457,0.6760868569493547,4.241278171539307,0.8974919319152832,34.81242741626943,0.95,0.05,0.05
q_046,Which stadium served as the location for the final match of the 1962 FIFA World Cup?,Humanities,False,False,defan,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,1.55,1.2031209415515964,38.25,17.82659530028098,3.108694969546972,0.2368964403867721,0.0146338921040296,0.4396558701992035,11,0.0473081246018409,1,name,,5.757203102111816,7.799077033996582,0.7381903101654165,4.2194976806640625,0.6415904760360718,19.540094506822925,0.3,0.15,0.35
q_047,What stadium was chosen to hold the final showdown of the 1982 FIFA World Cup?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.2179449471770337,43.9,17.8294699865139,2.521928094875821,0.1723949760198593,0.018311196938157,0.3316524922847748,8,0.0449279397726058,1,name,,7.133851528167725,9.136474609375,0.780810085439249,4.2207770347595215,0.8698350191116333,21.360824503291838,0.4,0.2,0.2
q_048,How many fans in the stands watched the final match of the 1950 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.2179449471770337,55.45,17.970740107185346,3.68418371975899,0.2183082550764084,0.0091375783085823,0.4094296395778656,14,0.0249932389706373,1,numeric,,7.433223724365234,8.387777328491211,0.8861970727637744,4.232072830200195,0.39762479066848755,26.34595823528798,0.15,0.1,0.45
q_049,attendance of the 2018 FIFA World Cup final?,Humanities,False,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.1,0.3,28.3,21.904565734111237,3.1841837197633187,0.2016110122203827,0.0069778054021298,0.3816579580307007,11,0.0275622475892305,1,numeric,,8.91114330291748,10.070762634277344,0.8848528773519638,4.236152172088623,0.37643492221832275,33.75839682114906,0.2,0.2,0.35
q_050,Which team ended up as the runner-up in the 2022 FIFA World Cup?,Humanities,True,False,defan,20,7,13,0,20,0.35,0.65,0.0,0.65,0.65,0.65,2.45,1.8834808201837363,10.4,7.611832893594026,1.395461844232551,0.1216342896223068,0.0198478791862726,0.2404987961053848,4,0.0507281571626663,1,name,,5.147558212280273,12.591679573059082,0.40880632153361235,4.2188568115234375,0.9020399451255798,16.068920402339245,0.6,0.3,0.1
q_051,What was the number of attendees at the final match of the 2018 FIFA World Cup?,Social Sciences,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.2179449471770337,31.5,20.71834935510066,3.784183719757547,0.341621994972229,0.0131510216742753,0.5963560342788696,15,0.0325839444994926,1,numeric,,3.510160446166992,4.836735725402832,0.7257292186699642,4.210103988647461,0.8784172534942627,10.52311087058797,0.15,0.1,0.55
q_052,Which country was the second-place holder in the 2002 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.2179449471770337,15.5,19.589538024159733,1.4788979029817082,0.2013953179121017,0.041597731411457,0.3812950849533081,4,0.1144919469952583,1,name,,3.8887217044830322,6.403105735778809,0.6073180514075748,4.174627304077148,0.23208223283290863,14.612105185157645,0.65,0.15,0.0
q_053,Which stadium played host to the decisive match of the 2014 FIFA World Cup?,Humanities,True,False,defan,20,16,4,0,20,0.8,0.2,0.0,0.2,0.2,0.2,4.3,1.417744687875783,47.15,21.112259471690848,2.257717469120049,0.1597438156604766,0.0336140431463718,0.3094415664672851,7,0.0618984960019588,0,name,,1.3505966663360596,8.93538761138916,0.15115143556873314,4.1849517822265625,0.9017532467842102,4.214408534872462,0.45,0.2,0.2
q_054,In which stadium did the climax of the 2002 FIFA World Cup occur?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.15,0.3570714214271425,41.85,23.544160634858063,3.7219280948657207,0.3057931065559387,0.0291891954839229,0.5453437566757202,15,0.0472245886921882,1,name,,0.903354287147522,6.291991233825684,0.14357208269067148,4.172430992126465,0.9008078575134277,2.8151310297657517,0.2,0.1,0.6
q_055,How many spectators were present at the final match of the 1950 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.15,0.3570714214271425,35.55,24.3320262206007,3.303701696040035,0.2817763388156891,0.0259567536413669,0.5096365809440613,12,0.0522229298949241,1,numeric,,4.642984867095947,5.486669063568115,0.8462301634817754,4.193577766418457,0.6585894227027893,15.778273978912694,0.25,0.15,0.4
q_056,Who was declared the winner of the 1998 FIFA World Cup?,Humanities,True,False,defan,20,20,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.1,16.201543136380558,0.609840304713515,0.082581952214241,0.0196385737508535,0.1666777729988098,2,0.0523522533476352,0,name,,8.971906661987305,10.318097114562988,0.8695311309513671,4.224180698394775,0.32242825627326965,33.97529660994451,0.85,0.15,0.0
q_057,Which stadium served as the location for the final match of the 2006 FIFA World Cup?,Humanities,True,False,defan,20,4,16,0,20,0.2,0.8,0.0,0.8,0.8,0.8,1.95,1.5644487847162016,53.0,23.65586608010791,3.541446071145323,0.3046816885471344,0.0207315869629383,0.5437184572219849,14,0.0402831211686134,1,name,,2.6562981605529785,4.262688636779785,0.6231508751078169,4.194883346557617,0.8978848457336426,8.245188365508625,0.25,0.1,0.55
q_058,In what stadium was the 2010 FIFA World Cup final event held?,Humanities,True,False,defan,20,10,10,0,20,0.5,0.5,0.0,0.5,0.5,0.5,3.1,1.9209372712298547,55.3,13.971757226634022,3.1016094970417147,0.2347680628299713,0.0263003762811422,0.4362316727638244,12,0.052770972251892,0,name,,6.7043304443359375,7.122031211853027,0.9413508921113082,4.203075885772705,0.27840137481689453,25.897478863043943,0.35,0.15,0.5
q_059,What was the turnout for the final match of the 2014 FIFA World Cup?,Social Sciences,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.3,0.4582575694955839,45.15,24.30077159268816,3.6841837197575473,0.3110958039760589,0.0227732397615909,0.5530644059181213,15,0.0477729886770248,1,numeric,,3.6494405269622803,4.85811710357666,0.7512047243084011,4.1934428215026855,0.7428579926490784,10.695866293769711,0.2,0.15,0.65
q_060,Who was the second-best team in the 1930 FIFA World Cup?,Humanities,True,False,defan,20,5,15,0,20,0.25,0.75,0.0,0.75,0.75,0.75,2.1,1.7,21.85,19.83752756771872,3.221928094871493,0.2263279408216476,0.0161056574434041,0.4225594401359558,11,0.0465504191815853,1,name,,6.821374893188477,7.461528301239014,0.914206126232035,4.219339370727539,0.6998463869094849,24.40080382059932,0.2,0.2,0.3
q_061,What nation finished as the runner-up in the 1962 FIFA World Cup?,Humanities,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.05,0.2179449471770337,28.15,23.759787456961813,3.284183719761876,0.2760677933692932,0.0048110270872712,0.5009708404541016,12,0.0558990240097045,1,name,,5.876882553100586,7.5296759605407715,0.7804960766032162,4.23104190826416,0.07148914039134979,24.883635495436465,0.2,0.2,0.45
q_062,How many fans in the stands watched the final match of the 2014 FIFA World Cup?,Social Sciences,True,False,defan,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.15,0.3570714214271425,51.1,20.10696396774013,3.68418371975899,0.2811910808086395,0.0163143444806337,0.5087513327598572,14,0.0456575453281402,1,numeric,,3.4959070682525635,6.690155982971191,0.5225449259965584,4.210306167602539,0.8181013464927673,11.030377681565028,0.15,0.1,0.45
