prompt_id,question,domain_canonical,domain_inconsistent,adversarial,n_samples,n_correct,n_incorrect,n_refused,n_definitive,frac_correct,frac_incorrect,frac_refused,hall_rate_strict,p_halluc,hall_rate_naive,score_mean,score_std,len_mean,len_std,H_sem,D_cos,M_bar,K,sig2_S,label
mmlu_00015_t1.0,"A man borrowed $150,000 from a bank to remodel his home and executed a promissory note agreeing to repay the loan over a 10-year period. The loan was secured by a mortgage on the home. The bank promptly recorded the mortgage, which was the only lien on the home at that time. Several months later, the man borrowed $40,000 from his mother in order to purchase a new truck and gave his mother a mortgage on the home to secure repayment of the debt. The mother promptly recorded the mortgage. The man later lost his job and was struggling to make loan payments to both the bank and his mother. To accommodate the man's financial situation, the bank extended the amortization period of its loan to substantially reduce the amount of each monthly payment. The bank did not alter the interest rate or increase the principal amount of the loan. At the time of the modification of the bank loan, the man was not in default in his payments to his mother. Neither the bank nor the man informed the mother of the modification of the bank loan. After the man later missed five payments to his mother, she commenced a foreclosure action. While the action was pending, the mother learned of the bank's loan modification. The mother asserted that her mortgage had become a first lien on the home and that the bank's mortgage had become a second lien. Is the mother's assertion correct?",Law & Business,False,False,20,6,14,0,20,0.3,0.7,0.0,0.7,0.7,0.7,2.8,1.3638181696985856,509.15,148.44738967054963,4.221928094859951,0.20748350024223328,20.767629623413086,19,0.010917799547314644,1
mmlu_00016_t1.0,"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is",STEM,False,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.65,0.4769696007084729,462.0,173.0759948693059,4.221928094859951,0.251249223947525,24.762378692626953,19,0.04348062351346016,1
mmlu_00017_t1.0,A person who recognizes a need to change certain behavior but exhibits ambivalence would most likely be in which stage of change?,Social Sciences,False,False,20,12,8,0,20,0.6,0.4,0.0,0.4,0.4,0.4,3.65,1.5898113095584645,382.05,210.68898286336662,3.8219280948642798,0.1736265867948532,17.592863082885742,16,0.03732636943459511,0
mmlu_00018_t1.0,"A graduate of law school received notice that she had successfully passed the bar exam. To celebrate passing, the graduate went out with a few friends to a popular campus bar. The graduate's friend ordered a round of Hula Girls for everyone. A Hula Girl is an extremely potent alcoholic drink consisting. of 2 ounces of dry gin, 1 ounce of French vermouth, and 1 teaspoon of grenadine. After the drink is mixed, it is then served in a glass with an inverted lemon peel, which is cut at the ends to represent a grass skirt. Although the graduate had never heard of a Hula Girl, she was in a festive mood and drank it, anyway. A few minutes later, the graduate became very dizzy and attempted to stand up from the barstool. As she tried to walk to the restroom, she became nauseated and vomited over a customer sitting at a nearby table. The customer was embarrassed and greatly humiliated by the incident. If the customer asserts a claim against the graduate, the plaintiff will most likely",Law & Business,False,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.85,0.3570714214271425,538.6,180.3725034477262,4.321928094858508,0.2128821313381195,20.934581756591797,20,0.01597382314503193,1
mmlu_00019_t1.0, Which of the following are the three broad groups of organizational characteristics segmentation criteria?,Social Sciences,True,False,20,6,14,0,20,0.3,0.7,0.0,0.7,0.7,0.7,2.9,1.3747727084867523,453.05,223.50335008674924,4.121928094861394,0.15683044493198395,17.807659149169922,18,0.010702567175030708,1
mmlu_00020_t1.0,Which of the following scans can image brain function?,Medicine & Health,False,False,20,11,9,0,20,0.55,0.45,0.0,0.45,0.45,0.44999999999999996,3.6,1.562049935181331,314.65,205.9806483628984,4.321928094858508,0.2310333251953125,19.847375869750977,20,0.03465704992413521,0
mmlu_00021_t1.0,"This question refers to the following information.
It is natural, it is a privilege, I will go farther, it is a right, which all free men claim, that they are entitled to complain when they are hurt. They have a right publicly to remonstrate against the abuses of power in the strongest terms, to put their neighbors upon their guard against the craft or open violence of men in authority, and to assert with courage the sense they have of the blessings of liberty, the value they put upon it, and their resolution at all hazards to preserve it as one of the greatest blessings heaven can bestow.… But to conclude: The question before the Court and you, Gentlemen of the jury, is not of small or private concern. It is not the cause of one poor printer, nor of New York alone, which you are now trying. No! It may in its consequence affect every free man that lives under a British government on the main of America. It is the best cause. It is the cause of liberty. And I make no doubt but your upright conduct this day will not only entitle you to the love and esteem of your fellow citizens, but every man who prefers freedom to a life of slavery will bless and honor you as men who have baffled the attempt of tyranny, and by an impartial and uncorrupt verdict have laid a noble foundation for securing to ourselves, our posterity, and our neighbors, that to which nature and the laws of our country have given us a right to liberty of both exposing and opposing arbitrary power (in these parts of the world at least) by speaking and writing truth.
—Andrew Hamilton, concluding argument, libel trial of newspaper editor
John Peter Zenger, August 4, 1735
The Zenger Case can best be compared to which of the following?",Law & Business,True,False,20,16,4,0,20,0.8,0.2,0.0,0.2,0.2,0.19999999999999996,4.4,1.2,464.7,202.79277600545834,4.221928094859951,0.2307412177324295,17.964237213134766,19,0.033281829208135605,0
mmlu_00022_t1.0,"Before a federal court may address a case, it has to be justiciable, i.e., involve a case or controversy. Which of the following is not an additional limitation on federal court jurisdiction?",Law & Business,False,False,20,10,10,0,20,0.5,0.5,0.0,0.5,0.5,0.5,3.5,1.5,418.0,196.43421290600068,4.121928094861394,0.26004451513290405,18.265409469604492,18,0.04015796259045601,0
mmlu_00023_t1.0,"In the author's two-hour movie representing the history of the universe, when do the earliest members of the human family appear?",Humanities,True,False,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,1.85,0.653834841531101,356.85,206.5299675591898,4.321928094858508,0.29980143904685974,23.98121452331543,20,0.056835997849702835,1
mmlu_00024_t1.0,Stephen is going through his second divorce. He thinks that no woman will ever love him again. His therapist points out to Stephen that his thinking is irrational and faulty. Which of the following therapies is the therapist employing?,Social Sciences,True,False,20,12,8,0,20,0.6,0.4,0.0,0.4,0.4,0.4,3.65,1.5898113095584645,387.45,230.96265390750946,4.121928094861394,0.27462396025657654,18.923175811767578,18,0.04645227640867233,0
mmlu_00025_t1.0,Who was the first American president to visit communist China?,Social Sciences,True,False,20,12,8,0,20,0.6,0.4,0.0,0.4,0.4,0.4,3.75,1.5451537140362444,285.15,166.04555850729642,4.121928094861394,0.20983915030956268,19.056148529052734,18,0.05522545427083969,0
mmlu_00026_t1.0,"____________ refers to a strategic process involving stakeholder assessment to create long-term relationships with customers, while maintaining, supporting, and enhancing the natural environment.",Social Sciences,True,False,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,2.2,1.1224972160321824,454.9,202.6183357941724,3.521928094867164,0.18778708577156067,19.477783203125,14,0.02059544436633587,1
mmlu_00027_t1.0,"This question refers to the following information.
""If you analyze it I believe the very heart and soul of conservatism is libertarianism. I think conservatism is really a misnomer just as liberalism is a misnomer for the liberals—if we were back in the days of the Revolution, so-called conservatives today would be the Liberals and the liberals would be the Tories. The basis of conservatism is a desire for less government interference or less centralized authority or more individual freedom and this is a pretty general description also of what libertarianism is. Now, I can't say that I will agree with all the things that the present group who call themselves Libertarians in the sense of a party say, because I think that like in any political movement there are shades, and there are libertarians who are almost over at the point of wanting no government at all or anarchy. I believe there are legitimate government functions. There is a legitimate need in an orderly society for some government to maintain freedom or we will have tyranny by individuals. The strongest man on the block will run the neighborhood. We have government to ensure that we don't each one of us have to carry a club to defend ourselves. But again, I stand on my statement that I think that libertarianism and conservatism are traveling the same path.""
Ronald Reagan, Interview published in Reason magazine, 1975
All of the following are factors that contributed to the prominence of conservatism in the late 1970s and 1980s EXCEPT",Social Sciences,False,False,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,2.1,0.7000000000000001,394.5,222.564485037483,3.8841837197561055,0.2258865386247635,21.82878875732422,16,0.04219478741288185,1
mmlu_00028_t1.0,"This question refers to the following information.
As a Jew, I have never believed in collective guilt. Only the guilty were guilty.
Children of killers are not killers but children. I have neither the desire nor the authority to judge today's generation for the unspeakable crimes committed by the generation of Hitler.
But we may—and we must—hold it responsible, not for the past, but for the way it remembers the past. And for what it does with the memory of the past. In remembering, you will help your own people vanquish the ghosts that hover over its history. Remember: a community that does not come to terms with the dead will continue to traumatize the living.
We remember Auschwitz and all that it symbolizes because we believe that, in spite of the past and its horrors, the world is worthy of salvation; and salvation, like redemption, can be found only in memory.
Elie Wiesel, ""Reflections of a Survivor,"" 1987
From the passage, one may infer that Wiesel asserted that remembering the Holocaust",Humanities,False,False,20,10,10,0,20,0.5,0.5,0.0,0.5,0.5,0.5,3.4,1.42828568570857,478.4,212.9695752918712,3.8841837197561055,0.2312527447938919,17.921039581298828,16,0.06535637378692627,0
mmlu_00029_t1.0,"During the investigation of a chemical reaction by a chemistry student, she was able to determine that the reaction was nonspontaneous at 1 atm and 298 K. However, she learned that cooling the system with dry ice (-78°C) caused the reaction to become spontaneous. Which of the following combinations must apply to this reaction?",STEM,False,False,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,2.15,0.6538348415311012,288.5,209.4978520176281,4.021928094862837,0.29407820105552673,21.505901336669922,17,0.06604339182376862,1
mmlu_00030_t1.0,"A state has recently released medical statistics showing that the number of new AIDS cases within the state has quadrupled from the preceding year. In 2008, the state reported that 2,250 people were diagnosed as being stricken with the AIDS virus. However, in 2009 the state confirmed that over 9,000 new persons contracted the deadly virus. In an effort to improve the health care of AIDS patients in the state, the Legislature has enacted a law providing public funds to assist privately owned hospitals. According to the law, every hospital in the state would receive $5,000 annually for each AIDS patient who was admitted to that hospital, and whose period of hospitalization exceeded one week. Although this bill was initially opposed by several churches and other organizations, the state's legislature re-drafted the bill in a compromise effort to appease the opposition. In its final re-draft, the bill provided that the $5,000 annual subsidy ""would not be paid to any hospital performing abortions. ""Which of the following is the strongest argument against the constitutionality of the state's statute?",Law & Business,False,False,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,2.45,1.0712142642814275,639.8,93.20118025003761,4.221928094859951,0.25451070070266724,20.238941192626953,19,0.013132167980074883,1
mmlu_00031_t1.0,"The hydrogen lines observed in the spectrum of the quasar 3C9 are shifted so far into the red that their wavelengths are three times as long as those observed in the light from hydrogen atoms at rest in a laboratory on Earth. If it is assumed that the shift is entirely due to the relative motion of 3C9 and Earth, the relative speed of the quasar is",STEM,False,False,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,2.2,0.9797958971132713,215.4,177.44728794771703,4.321928094858508,0.33725032210350037,24.397817611694336,20,0.04035229608416557,1
mmlu_00032_t1.0,"In a cartoon, an angel is perched on one shoulder and a devil is perched on the other shoulder of a character who needs to decide whether to give money to a homeless man or not. The devil says, ""Don't give him anything, you'll make better use of the money than he will."" The angel says, ""Give him the money because he needs it more than you do."" The character gives the homeless man half of his money. In a Freudian interpretation, the angel represents the character's",Humanities,False,False,20,6,14,0,20,0.3,0.7,0.0,0.7,0.7,0.7,2.8,1.469693845669907,505.8,200.845861296667,3.784183719757547,0.21189172565937042,19.138504028320312,15,0.054343465715646744,1
mmlu_00033_t1.0,It is a monetarist point of view that,Social Sciences,False,False,20,6,14,0,20,0.3,0.7,0.0,0.7,0.7,0.7,2.75,1.299038105676658,427.2,202.88607640742623,4.121928094861394,0.19337578117847443,17.491512298583984,18,0.014643070288002491,1
mmlu_00034_t1.0, Huemer argues that there is no reason to think that the harms of drug use are in an important sense,Social Sciences,True,False,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,2.4,0.9695359714832659,425.0,177.93453852470577,3.6841837197575473,0.1433619260787964,20.274696350097656,15,0.011492874473333359,1
mmlu_00035_t1.0,"Let l = [1,2,3,4]. What is max(l) in Python3?",STEM,False,False,20,12,8,0,20,0.6,0.4,0.0,0.4,0.4,0.4,3.5,1.857417562100671,183.9,120.95697582198392,3.239353872148445,0.23373910784721375,18.873374938964844,13,0.08911199122667313,0
mmlu_00036_t1.0,"During a study of renal glomeruli, a healthy animal kidney is kept in a vascular bath preparation at a constant afferent arterial pressure of 100 mm Hg. If the efferent arteriole is constricted with a vascular clamp, which of the following Starling forces is most likely to change in the glomeruli?",Medicine & Health,False,False,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,2.25,0.9420721840708386,453.95,186.47854434223794,3.68418371975899,0.1577269732952118,21.715564727783203,14,0.015740837901830673,1
mmlu_00037_t1.0,"A student has 3 puzzles. Each puzzle has 1,250 pieces. What is the total number of pieces in the puzzles?",STEM,False,False,20,16,4,0,20,0.8,0.2,0.0,0.2,0.2,0.19999999999999996,4.4,1.2,132.2,64.22195886143618,2.26096404743214,0.14593584835529327,16.96009635925293,8,0.04920583963394165,0
mmlu_00038_t1.0,"Hydrogen fluoride, HF, is a liquid at 15°C. All other hydrogen halides (represented by HX, where X is any other halogen) are gases at the same temperature. Why?",STEM,False,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.85,0.3570714214271425,394.1,203.6491836467802,3.8219280948642798,0.2674550712108612,23.38756561279297,16,0.0863434448838234,1
mmlu_00039_t1.0,"If $m$ and $n$ are odd integers, how many terms in the expansion of $(m+n)^6$ are odd?",STEM,False,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.75,0.4330127018922193,292.75,157.616583835585,3.8219280948642798,0.19145819544792175,29.36764144897461,16,0.019774507731199265,1
mmlu_00040_t1.0,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I threw the newspapers into to the forest wild fire. Scenario 2 | I asked my children to set the table for dinner.",Social Sciences,False,False,20,4,16,0,20,0.2,0.8,0.0,0.8,0.8,0.8,2.5,1.284523257866513,300.9,190.2153779272328,4.121928094861394,0.3243351876735687,19.103487014770508,18,0.040717847645282745,1
mmlu_00041_t1.0, Carens's main conclusion is that,Social Sciences,True,False,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,2.1,0.7,434.4,208.88810401743802,4.021928094862837,0.21953412890434265,21.356449127197266,17,0.06431400775909424,1
mmlu_00042_t1.0,The treatment of hepatitis C has been revolutionised most recently by which of the following?,Medicine & Health,False,False,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,2.2,0.9797958971132713,313.45,200.98220692389663,3.5037016960371496,0.19641156494617462,22.27933120727539,14,0.05338979884982109,1
mmlu_00043_t1.0,"A 19-year-old Asian female college student comes to the university health center because of a 1-week history of nasal stuffiness, occasional clear rhinorrhea, and a mild sore throat. Two days ago, she began to feel hot, but she has not taken her temperature. Medical history is unremarkable and her only medication is an oral contraceptive. She has no history of allergies. She does not smoke cigarettes. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical examination discloses tenderness over the left maxillary sinus without purulent drainage. There is clear fluid behind the left tympanic membrane, enlarged tonsils bilaterally, and pain with tapping of the left upper incisors. Left frontal sinus does not transilluminate. Cardiopulmonary examination discloses no abnormalities. Which of the following is the most likely underlying mechanism of this patient's sinusitis?",Medicine & Health,False,False,20,4,16,0,20,0.2,0.8,0.0,0.8,0.8,0.8,2.4,1.3564659966250534,454.4,199.97909890786087,4.08418371975322,0.19342970848083496,22.682254791259766,18,0.023089690133929253,1
mmlu_00044_t1.0,"To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the",STEM,False,False,20,13,7,0,20,0.65,0.35,0.0,0.35,0.35,0.35,3.9,1.5132745950421556,404.6,161.39653032206115,3.484183719760433,0.13263985514640808,17.156505584716797,13,0.00550079345703125,0
mmlu_00045_t1.0,"You are subpoenaed to appear at a deposition to testify about a former client of yours. During the deposition, the attorney for the opposing party asks you to provide confidential client information. You should:",Law & Business,False,False,20,4,16,0,20,0.2,0.8,0.0,0.8,0.8,0.8,2.6,1.2,506.45,197.88998837738103,3.9841837197546632,0.20888657867908478,19.09438705444336,17,0.061784710735082626,1
mmlu_00046_t1.0,"According to W. E. B. Dubois, progress for African Americans in the aftermath of slavery",Social Sciences,True,False,20,1,19,0,20,0.05,0.95,0.0,0.95,0.95,0.95,2.05,0.739932429347437,487.15,198.90280918076547,4.221928094859951,0.2314373254776001,20.70290184020996,19,0.03231847286224365,1
mmlu_00047_t1.0,How are new polyomaviruses detailed,Medicine & Health,True,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.9,0.3,386.05,179.49720749916975,3.9219280948642794,0.21287329494953156,24.922910690307617,16,0.03388595953583717,1
mmlu_00048_t1.0,Which of the following is the most likely to be a deterrent to growth in the economy?,Social Sciences,False,False,20,15,5,0,20,0.75,0.25,0.0,0.25,0.25,0.25,4.05,1.359227721906819,323.95,191.57465255090509,3.58418371975899,0.19289574027061462,15.985511779785156,14,0.018889937549829483,0
mmlu_00049_t1.0,"Every ten years, the majority of state legislatures are responsible for",Social Sciences,True,True,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,2.4,1.1135528725660044,386.1,224.51389711997786,4.321928094858508,0.3367261290550232,19.697551727294922,20,0.05444640666246414,1
mmlu_00050_t1.0,Historical materialism is founded on the ideas and philosophies of which theorists?,Humanities,True,False,20,10,10,0,20,0.5,0.5,0.0,0.5,0.5,0.5,3.35,1.6815171720800235,417.75,190.31391830341784,4.221928094859951,0.2077122926712036,18.80562973022461,19,0.020238004624843597,0
mmlu_00051_t1.0,Which type of reaction time results in the biggest age differences?,STEM,False,False,20,6,14,0,20,0.3,0.7,0.0,0.7,0.7,0.7,2.85,1.3143439428094914,421.7,218.96782868722977,3.6841837197575473,0.17591843008995056,17.968969345092773,15,0.024880999699234962,1
mmlu_00052_t1.0,"Nitrous acid is a weak acid, while nitric acid is a much stronger acid because",STEM,False,False,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,2.1,0.7,318.2,146.46829008355357,3.339353872147002,0.15867815911769867,22.480112075805664,14,0.03672415018081665,1
mmlu_00053_t1.0,"Which of the following statements about proteolysis is correct?
",Medicine & Health,True,False,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,2.15,1.0136567466356647,366.95,231.69192368315302,4.121928094861394,0.3006730377674103,21.466142654418945,18,0.05965207889676094,1
mmlu_00054_t1.0,Which of the following molecules does not form part of DNA?,STEM,False,False,20,17,3,0,20,0.85,0.15,0.0,0.15,0.15,0.15000000000000002,4.55,1.0712142642814275,346.1,135.62555069012623,3.8219280948642798,0.13054107129573822,16.90275001525879,16,0.005463878624141216,0
mmlu_00055_t1.0,Aquinas holds that the last end of man is:,Humanities,False,False,20,11,9,0,20,0.55,0.45,0.0,0.45,0.45,0.44999999999999996,3.45,1.745709025009609,405.8,192.68980253246409,3.8841837197561055,0.2295462191104889,18.041805267333984,16,0.04864087328314781,0
mmlu_00056_t1.0,Which of the following is not a good measure of relative intermolecular attractive forces?,STEM,False,False,20,4,16,0,20,0.2,0.8,0.0,0.8,0.8,0.8,2.6,1.2,523.5,156.8201198826222,3.521928094867164,0.14282821118831635,20.889461517333984,14,0.011281309649348259,1
mmlu_00057_t1.0,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I made her sushi from her leftover salmon. Scenario 2 | I jumped out of the window onto the ground three feet below.",Social Sciences,True,False,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,2.35,1.1521718621802912,317.1,203.5430912607942,4.121928094861394,0.2983313202857971,19.627668380737305,18,0.033351700752973557,1
mmlu_00058_t1.0,"This question refers to the following information.
""A specter is haunting Europe-the specter of Communism. All the powers of old Europe have entered into a holy alliance to exorcise this specter; Pope and Czar, Metternich and Guizot, French radicals and German police spies.
Two things result from this fact.
I. Communism is already acknowledged by all European powers to be in itself a power.
II. It is high time that Communists should openly, in the face of the whole world, publish their views, their aims, their tendencies, and meet this nursery tale of the Specter of Communism with a Manifesto of the party itself.""
Karl Marx and Friedrich Engels, The Communist Manifesto, 1848
In this passage, Marx and Engels seem to be chiefly preoccupied with",Humanities,False,False,20,3,17,0,20,0.15,0.85,0.0,0.85,0.85,0.85,2.4,0.9695359714832659,424.05,200.01936781221963,4.321928094858508,0.28783321380615234,19.893749237060547,20,0.04204763472080231,1
mmlu_00059_t1.0,"You've just finished training a decision tree for spam classification, and it is getting abnormally bad performance on both your training and test sets. You know that your implementation has no bugs, so what could be causing the problem?",STEM,False,False,20,0,20,0,20,0.0,1.0,0.0,1.0,1.0,1.0,1.95,0.21794494717703372,434.9,191.48966029527546,4.221928094859951,0.20579656958580017,26.347705841064453,19,0.015206936746835709,1
mmlu_00060_t1.0,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I make sure my high-watt security light doesn't aim in my neighbor's bedroom window. Scenario 2 | I swung a pillow at my best friend James.",Social Sciences,False,False,20,7,13,0,20,0.35,0.65,0.0,0.65,0.65,0.65,3.0,1.4832396974191326,312.75,165.48923681013216,4.221928094859951,0.28410249948501587,19.376821517944336,19,0.025645742192864418,1
mmlu_00061_t1.0, What can murtis be translated as?,Humanities,False,False,20,4,16,0,20,0.2,0.8,0.0,0.8,0.8,0.8,2.5,1.284523257866513,312.7,191.8859296561371,3.4037016960385924,0.170369490981102,19.915485382080078,13,0.054567668586969376,1
mmlu_00062_t1.0,The FED's Board of Governors has members each serving -year terms.,Social Sciences,True,False,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,1.75,1.1779218989389746,320.8,160.63517672041826,4.321928094858508,0.23251576721668243,21.665456771850586,20,0.017898065969347954,1
mmlu_00063_t1.0,Find the speed of a wave by multiplying its frequency by its,STEM,False,False,20,6,14,0,20,0.3,0.7,0.0,0.7,0.7,0.7,2.8,1.469693845669907,277.5,195.2161622407325,3.7219280948657207,0.1895454227924347,19.006860733032227,15,0.04341395944356918,1
mmlu_00064_t1.0,A latch is ________ sensitive,STEM,False,False,20,2,18,0,20,0.1,0.9,0.0,0.9,0.9,0.9,2.15,1.0136567466356647,306.9,123.27404430779417,3.4086949695455293,0.12039406597614288,22.21211814880371,12,0.006080156192183495,1
